County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,MAPLETON 1,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,0,103,114,118,113,65,70,583,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,66,66,71,50,253,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,53,0,35,46,42,19,29,29,31,60,52,66,60,47,23,592,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,117,113,86,66,382,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,58,0,44,51,42,41,44,46,48,52,45,0,0,0,0,471,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,64,0,56,58,55,47,42,44,53,58,52,0,0,0,0,529,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,0,52,64,56,52,54,55,59,64,63,70,70,56,50,765,
01,ADAMS,0010,MAPLETON 1,0504,WELBY MONTESSORI SCHOOL,73,0,33,39,27,22,24,20,21,0,0,0,0,0,0,259,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,57,0,40,57,61,57,56,46,60,58,59,0,0,0,0,551,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,60,0,41,55,49,46,49,56,56,0,0,0,0,0,0,412,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,65,0,55,62,58,46,58,56,52,0,0,0,0,0,0,452,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,0,38,60,59,47,57,51,60,59,57,0,0,0,0,488,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,0,0,95,103,89,111,111,119,167,248,283,354,288,234,173,"2,375",
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,0,41,45,59,54,50,61,59,60,56,0,0,0,0,485,
01,ADAMS,0010,MAPLETON 1 Total,,,430,0,530,640,597,542,574,583,666,762,781,791,710,559,505,"8,670",
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,0,55,24,85,99,87,93,95,0,0,0,0,0,0,0,538,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,0,0,0,0,0,0,0,0,409,449,409,0,0,0,0,"1,267",
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,0,34,67,118,117,133,128,139,0,0,0,0,0,0,0,736,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,0,0,0,0,0,0,0,0,2,7,27,7,37,96,93,269,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,0,48,38,94,117,106,98,107,0,0,0,0,0,0,0,608,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,0,54,0,79,74,69,76,79,0,0,0,0,0,0,0,431,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,0,0,0,0,0,0,0,0,353,372,329,0,0,0,0,"1,054",
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,0,46,46,96,97,96,72,75,82,69,74,0,0,0,0,753,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,0,0,101,97,102,87,84,86,0,0,0,0,0,0,0,557,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,0,47,45,104,120,102,121,121,0,0,0,0,0,0,0,660,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,0,27,52,109,84,91,91,111,0,0,0,0,0,0,0,565,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,0,50,46,105,94,112,104,98,0,0,0,0,0,0,0,609,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,0,34,48,73,89,78,70,84,0,0,0,0,0,0,0,476,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,0,40,25,67,64,86,82,90,0,0,0,0,0,0,0,454,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,0,58,0,89,90,67,82,79,0,0,0,0,0,0,0,465,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,0,44,24,77,74,86,87,83,0,0,0,0,0,0,0,475,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,0,0,69,80,75,93,73,81,0,0,0,0,0,0,0,471,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,0,67,0,80,68,67,75,63,0,0,0,0,0,0,0,420,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,0,0,95,122,103,90,103,95,0,0,0,0,0,0,0,608,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,0,102,72,171,145,116,73,59,40,44,0,0,0,0,0,822,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,0,0,78,68,92,89,65,62,0,0,0,0,0,0,0,454,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,524,503,486,494,"2,007",
