County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,MAPLETON 1,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,0,125,125,127,122,88,63,650,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,86,62,63,62,273,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,59,0,34,50,47,43,29,30,30,54,59,80,54,43,34,646,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,121,114,90,79,404,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,60,0,42,52,46,40,50,43,53,52,50,0,0,0,0,488,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,64,0,48,48,59,50,45,48,44,53,49,0,0,0,0,508,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,0,47,58,55,52,54,54,54,54,63,83,65,49,46,734,
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,66,0,39,30,35,28,23,24,21,0,0,0,0,0,0,266,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,62,0,46,49,47,55,53,51,48,56,53,0,0,0,0,520,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,61,0,50,47,59,51,46,56,56,0,0,0,0,0,0,426,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,69,0,47,57,44,47,42,41,52,0,0,0,0,0,0,399,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,0,38,49,59,57,50,52,50,60,58,0,0,0,0,473,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,0,0,85,81,88,108,101,120,147,249,304,357,301,260,219,2420,
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,0,34,50,43,50,50,58,59,60,48,0,0,0,0,452,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,0,39,24,78,84,97,88,103,0,0,0,0,0,0,0,513,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,0,0,0,0,0,0,0,0,471,431,454,0,0,0,0,1356,
