County Code,County Name,District Code,District Name,School Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,MAPLETON 1,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,0,112,124,133,120,86,63,638,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,60,66,61,58,245,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,0,0,0,0,0,0,0,0,0,0,0,70,55,36,38,199,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,129,120,99,87,435,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,60,0,39,40,48,49,41,49,57,52,49,0,0,0,0,484,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,60,0,50,53,51,53,54,42,49,45,53,0,0,0,0,510,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,0,53,57,54,54,56,52,57,58,56,91,81,38,50,757,
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,68,0,37,27,26,27,22,21,25,0,0,0,0,0,0,253,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,77,0,40,52,56,62,53,58,57,55,54,0,0,0,0,564,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,63,0,60,45,44,58,50,46,53,0,0,0,0,0,0,419,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,63,0,55,58,48,40,46,42,56,0,0,0,0,0,0,408,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,0,41,48,50,58,48,54,53,50,57,0,0,0,0,459,
01,ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,0,0,0,0,0,0,0,0,0,0,0,56,36,0,0,92,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,0,0,73,68,80,94,107,123,156,228,303,344,316,277,257,2426,
01,ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,0,0,0,0,0,0,47,24,30,44,50,0,0,0,0,195,
01,ADAMS,0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,51,0,36,41,53,46,0,0,0,0,0,0,0,0,0,227,
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,0,34,38,54,43,44,49,60,58,58,0,0,0,0,438,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,0,48,26,70,75,87,96,87,0,0,0,0,0,0,0,489,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,0,0,0,0,0,0,0,0,421,491,426,0,0,0,0,1338,
