County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
01,ADAMS,0010,MAPLETON 1,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,0,119,125,132,128,105,68,677,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,62,64,62,61,249,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,0,0,0,0,0,0,0,0,0,0,0,75,75,45,31,226,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,124,124,109,91,448,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,61,0,43,43,42,47,50,39,52,50,56,0,0,0,0,483,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,57,0,48,52,48,50,55,45,56,46,46,0,0,0,0,503,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,0,58,48,53,61,61,54,56,63,60,71,86,58,49,778,
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,52,0,36,30,28,27,27,27,26,0,0,0,0,0,0,253,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,81,0,42,49,52,56,53,59,58,55,49,0,0,0,0,554,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,61,0,54,55,44,49,60,48,51,0,0,0,0,0,0,422,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,71,0,36,53,46,40,45,39,44,0,0,0,0,0,0,374,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,0,51,50,45,48,59,54,56,44,52,0,0,0,0,459,
01,ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,0,0,0,0,0,0,0,0,0,0,0,58,64,32,0,154,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,0,0,61,75,60,102,98,116,161,206,300,357,303,249,269,2357,
01,ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,0,0,0,0,0,0,57,52,29,55,56,0,0,0,0,249,
01,ADAMS,0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,61,0,42,43,43,57,0,0,0,0,0,0,0,0,0,246,
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,0,29,44,44,52,47,50,48,58,56,0,0,0,0,428,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,Not in a school,0,0,0,0,0,0,0,0,0,0,0,0,1,11,38,50,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,0,55,23,75,68,77,82,91,0,0,0,0,0,0,0,471,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,0,0,0,0,0,0,0,0,424,443,483,0,0,0,0,1350,
