County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count
01,ADAMS,0010,Mapleton 1,0000,Not in a school, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6 , 	6 
01,ADAMS,0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	78 , 	102 , 	119 , 	130 , 	88 , 	93 , 	610 
01,ADAMS,0010,Mapleton 1,0212,Mapleton Early College High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	76 , 	74 , 	65 , 	55 , 	270 
01,ADAMS,0010,Mapleton 1,0263,Global Leadership Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	87 , 	79 , 	66 , 	37 , 	269 
01,ADAMS,0010,Mapleton 1,0309,Academy High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	137 , 	116 , 	99 , 	96 , 	448 
01,ADAMS,0010,Mapleton 1,0502,Meadow Community School, 	-   , 	-   , 	46 , 	46 , 	44 , 	36 , 	45 , 	43 , 	44 , 	51 , 	51 , 	-   , 	-   , 	-   , 	-   , 	406 
01,ADAMS,0010,Mapleton 1,0503,York International, 	-   , 	-   , 	76 , 	45 , 	72 , 	68 , 	70 , 	69 , 	85 , 	80 , 	84 , 	97 , 	85 , 	75 , 	66 , 	972 
01,ADAMS,0010,Mapleton 1,0504,Welby Community School, 	48 , 	-   , 	43 , 	56 , 	50 , 	46 , 	50 , 	38 , 	40 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	371 
01,ADAMS,0010,Mapleton 1,0505,Achieve Academy, 	-   , 	-   , 	39 , 	40 , 	30 , 	47 , 	37 , 	46 , 	55 , 	66 , 	60 , 	-   , 	-   , 	-   , 	-   , 	420 
01,ADAMS,0010,Mapleton 1,0506,Explore Pk-8, 	57 , 	-   , 	60 , 	52 , 	53 , 	58 , 	61 , 	53 , 	112 , 	15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	521 
01,ADAMS,0010,Mapleton 1,0507,Adventure Elementary, 	30 , 	-   , 	59 , 	58 , 	45 , 	45 , 	50 , 	49 , 	50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	386 
01,ADAMS,0010,Mapleton 1,0509,Clayton Partnership School, 	-   , 	-   , 	51 , 	57 , 	47 , 	57 , 	61 , 	62 , 	67 , 	69 , 	61 , 	-   , 	-   , 	-   , 	-   , 	532 
01,ADAMS,0010,Mapleton 1,0695,Big Picture College and Career Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	19 , 	38 , 	33 , 	23 , 	113 
01,ADAMS,0010,Mapleton 1,1796,Colorado Connections Academy, 	-   , 	-   , 	93 , 	105 , 	112 , 	114 , 	120 , 	143 , 	156 , 	224 , 	216 , 	276 , 	348 , 	325 , 	300 ," 	2,532 "
01,ADAMS,0010,Mapleton 1,2768,Preschool on Poze, 	141 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	141 
01,ADAMS,0010,Mapleton 1,3590,Global Intermediate Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	47 , 	54 , 	61 , 	69 , 	61 , 	-   , 	-   , 	-   , 	-   , 	292 
01,ADAMS,0010,Mapleton 1,3623,Global Primary Academy, 	71 , 	-   , 	49 , 	56 , 	44 , 	49 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	269 
01,ADAMS,0010,Mapleton 1,6315,North Valley School for Young Adults, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	77 , 	77 
01,ADAMS,0010,Mapleton 1,8823,Trailside Academy, 	70 , 	-   , 	45 , 	42 , 	51 , 	33 , 	44 , 	43 , 	52 , 	65 , 	60 , 	-   , 	-   , 	-   , 	-   , 	505 
01,ADAMS,0020,Adams 12 Five Star Schools,0014,Glacier Peak Elementary School, 	-   , 	-   , 	53 , 	64 , 	67 , 	80 , 	72 , 	57 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	393 
01,ADAMS,0020,Adams 12 Five Star Schools,0057,Rocky Top Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	332 , 	347 , 	353 , 	-   , 	-   , 	-   , 	-   ," 	1,032 "
01,ADAMS,0020,Adams 12 Five Star Schools,0059,Meridian Elementary School, 	-   , 	-   , 	62 , 	91 , 	92 , 	88 , 	98 , 	100 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	531 
01,ADAMS,0020,Adams 12 Five Star Schools,0070,Adams12 Five Star Preschool, 	50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	50 
01,ADAMS,0020,Adams 12 Five Star Schools,0210,Vantage Point, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4 , 	25 , 	2 , 	26 , 	160 , 	127 , 	344 
01,ADAMS,0020,Adams 12 Five Star Schools,0301,Arapahoe Ridge Elementary School, 	52 , 	-   , 	67 , 	74 , 	73 , 	69 , 	81 , 	92 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	508 
01,ADAMS,0020,Adams 12 Five Star Schools,1388,Centennial Elementary School, 	41 , 	-   , 	48 , 	70 , 	69 , 	64 , 	61 , 	53 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	406 
01,ADAMS,0020,Adams 12 Five Star Schools,1480,Century Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	310 , 	314 , 	317 , 	-   , 	-   , 	-   , 	-   , 	941 
01,ADAMS,0020,Adams 12 Five Star Schools,1519,Stargate Charter School, 	-   , 	-   , 	88 , 	96 , 	100 , 	100 , 	100 , 	130 , 	135 , 	134 , 	135 , 	137 , 	109 , 	113 , 	109 ," 	1,486 "
01,ADAMS,0020,Adams 12 Five Star Schools,1878,Coronado Hills Elementary School, 	39 , 	-   , 	72 , 	82 , 	76 , 	84 , 	76 , 	84 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	513 
01,ADAMS,0020,Adams 12 Five Star Schools,1914,Cotton Creek Elementary School, 	-   , 	-   , 	71 , 	90 , 	87 , 	83 , 	89 , 	85 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	505 
01,ADAMS,0020,Adams 12 Five Star Schools,1937,Coyote Ridge Elementary School, 	-   , 	-   , 	57 , 	62 , 	65 , 	72 , 	71 , 	71 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	398 
01,ADAMS,0020,Adams 12 Five Star Schools,2361,Eagleview Elementary School, 	-   , 	-   , 	82 , 	65 , 	85 , 	107 , 	90 , 	80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	509 
01,ADAMS,0020,Adams 12 Five Star Schools,2410,Tarver Elementary School, 	68 , 	-   , 	69 , 	57 , 	64 , 	62 , 	83 , 	70 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	473 
01,ADAMS,0020,Adams 12 Five Star Schools,2576,Cherry Drive Elementary School, 	47 , 	-   , 	45 , 	52 , 	46 , 	48 , 	44 , 	55 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	337 
