County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count
01,ADAMS,0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	60 , 	85 , 	133 , 	101 , 	89 , 	73 , 	541 
01,ADAMS,0010,Mapleton 1,0212,Mapleton Early College High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	81 , 	78 , 	71 , 	49 , 	279 
01,ADAMS,0010,Mapleton 1,0263,Global Leadership Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	99 , 	87 , 	72 , 	53 , 	311 
01,ADAMS,0010,Mapleton 1,0309,Academy High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	129 , 	130 , 	115 , 	96 , 	470 
01,ADAMS,0010,Mapleton 1,0501,Monterey Community School, 	-   , 	-   , 	38 , 	37 , 	36 , 	32 , 	43 , 	43 , 	50 , 	45 , 	42 , 	-   , 	-   , 	-   , 	-   , 	366 
01,ADAMS,0010,Mapleton 1,0502,Meadow Community School, 	-   , 	-   , 	48 , 	50 , 	36 , 	44 , 	36 , 	40 , 	55 , 	53 , 	49 , 	-   , 	-   , 	-   , 	-   , 	411 
01,ADAMS,0010,Mapleton 1,0503,York International, 	-   , 	-   , 	64 , 	59 , 	32 , 	64 , 	64 , 	56 , 	64 , 	72 , 	67 , 	94 , 	86 , 	65 , 	64 , 	851 
01,ADAMS,0010,Mapleton 1,0504,Welby Community School, 	50 , 	-   , 	37 , 	46 , 	49 , 	43 , 	34 , 	32 , 	32 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	323 
01,ADAMS,0010,Mapleton 1,0505,Achieve Academy, 	-   , 	-   , 	46 , 	46 , 	40 , 	32 , 	48 , 	36 , 	46 , 	49 , 	54 , 	-   , 	-   , 	-   , 	-   , 	397 
01,ADAMS,0010,Mapleton 1,0506,Explore Pk-8, 	58 , 	-   , 	59 , 	59 , 	54 , 	50 , 	61 , 	57 , 	60 , 	59 , 	61 , 	-   , 	-   , 	-   , 	-   , 	578 
01,ADAMS,0010,Mapleton 1,0507,Adventure Elementary, 	53 , 	-   , 	50 , 	54 , 	48 , 	41 , 	45 , 	39 , 	46 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	376 
01,ADAMS,0010,Mapleton 1,0509,Clayton Partnership School, 	-   , 	-   , 	27 , 	40 , 	52 , 	39 , 	43 , 	47 , 	51 , 	48 , 	60 , 	-   , 	-   , 	-   , 	-   , 	407 
01,ADAMS,0010,Mapleton 1,0695,Big Picture College and Career Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	36 , 	26 , 	33 , 	21 , 	116 
01,ADAMS,0010,Mapleton 1,1796,Colorado Connections Academy, 	-   , 	-   , 	112 , 	85 , 	103 , 	112 , 	114 , 	114 , 	138 , 	152 , 	239 , 	219 , 	252 , 	260 , 	254 ," 	2,154 "
01,ADAMS,0010,Mapleton 1,2768,Preschool on Poze, 	192 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	192 
01,ADAMS,0010,Mapleton 1,3590,Global Intermediate Academy, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	53 , 	52 , 	59 , 	86 , 	87 , 	-   , 	-   , 	-   , 	-   , 	337 
01,ADAMS,0010,Mapleton 1,3623,Global Primary Academy, 	64 , 	-   , 	57 , 	57 , 	58 , 	53 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	289 
01,ADAMS,0010,Mapleton 1,6315,North Valley School for Young Adults, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	2 , 	87 , 	90 
01,ADAMS,0010,Mapleton 1,8823,Trailside Academy, 	75 , 	-   , 	54 , 	49 , 	48 , 	49 , 	35 , 	48 , 	50 , 	50 , 	56 , 	-   , 	-   , 	-   , 	-   , 	514 
01,ADAMS,0020,Adams 12 Five Star Schools,0014,Glacier Peak Elementary School, 	-   , 	-   , 	83 , 	62 , 	73 , 	70 , 	78 , 	74 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	440 
01,ADAMS,0020,Adams 12 Five Star Schools,0057,Rocky Top Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	338 , 	339 , 	352 , 	-   , 	-   , 	-   , 	-   ," 	1,029 "
01,ADAMS,0020,Adams 12 Five Star Schools,0059,Meridian Elementary School, 	-   , 	-   , 	97 , 	79 , 	95 , 	97 , 	90 , 	91 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	549 
01,ADAMS,0020,Adams 12 Five Star Schools,0070,Adams12 Five Star Preschool, 	45 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	45 
01,ADAMS,0020,Adams 12 Five Star Schools,0210,Vantage Point, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6 , 	12 , 	1 , 	35 , 	124 , 	138 , 	316 
01,ADAMS,0020,Adams 12 Five Star Schools,0301,Arapahoe Ridge Elementary School, 	71 , 	-   , 	77 , 	64 , 	79 , 	68 , 	61 , 	80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	500 
01,ADAMS,0020,Adams 12 Five Star Schools,1388,Centennial Elementary School, 	49 , 	-   , 	62 , 	47 , 	69 , 	67 , 	59 , 	60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	413 
01,ADAMS,0020,Adams 12 Five Star Schools,1480,Century Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	286 , 	290 , 	290 , 	-   , 	-   , 	-   , 	-   , 	866 
01,ADAMS,0020,Adams 12 Five Star Schools,1519,Stargate Charter School, 	-   , 	-   , 	92 , 	97 , 	100 , 	100 , 	100 , 	125 , 	135 , 	138 , 	138 , 	114 , 	138 , 	103 , 	114 ," 	1,494 "
01,ADAMS,0020,Adams 12 Five Star Schools,1878,Coronado Hills Elementary School, 	56 , 	-   , 	57 , 	62 , 	78 , 	65 , 	68 , 	69 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	455 
01,ADAMS,0020,Adams 12 Five Star Schools,1914,Cotton Creek Elementary School, 	-   , 	-   , 	72 , 	86 , 	85 , 	90 , 	87 , 	78 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	498 
01,ADAMS,0020,Adams 12 Five Star Schools,1937,Coyote Ridge Elementary School, 	-   , 	-   , 	65 , 	60 , 	71 , 	69 , 	73 , 	66 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	404 
01,ADAMS,0020,Adams 12 Five Star Schools,2361,Eagleview Elementary School, 	-   , 	-   , 	76 , 	81 , 	74 , 	92 , 	107 , 	88 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	518 
01,ADAMS,0020,Adams 12 Five Star Schools,2410,Tarver Elementary School, 	74 , 	-   , 	69 , 	67 , 	61 , 	67 , 	69 , 	90 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	497 
01,ADAMS,0020,Adams 12 Five Star Schools,2576,Cherry Drive Elementary School, 	80 , 	-   , 	42 , 	50 , 	42 , 	44 , 	53 , 	48 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	359 
01,ADAMS,0020,Adams 12 Five Star Schools,2578,Skyview Elementary School, 	-   , 	-   , 	60 , 	50 , 	67 , 	69 , 	62 , 	80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	388 
01,ADAMS,0020,Adams 12 Five Star Schools,2580,Hunters Glen Elementary School, 	49 , 	-   , 	52 , 	66 , 	59 , 	60 , 	63 , 	59 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	408 
01,ADAMS,0020,Adams 12 Five Star Schools,2582,Rocky Mountain Elementary School, 	-   , 	-   , 	41 , 	40 , 	52 , 	52 , 	65 , 	70 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	320 
01,ADAMS,0020,Adams 12 Five Star Schools,2584,Riverdale Elementary School, 	47 , 	-   , 	45 , 	57 , 	69 , 	60 , 	66 , 	59 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	403 
01,ADAMS,0020,Adams 12 Five Star Schools,2918,Federal Heights Elementary School, 	49 , 	-   , 	73 , 	59 , 	39 , 	78 , 	59 , 	70 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	427 
01,ADAMS,0020,Adams 12 Five Star Schools,4000,Hillcrest Elementary School, 	-   , 	-   , 	53 , 	57 , 	51 , 	72 , 	89 , 	69 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	391 
01,ADAMS,0020,Adams 12 Five Star Schools,4108,Horizon High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	519 , 	518 , 	517 , 	445 ," 	1,999 "
01,ADAMS,0020,Adams 12 Five Star Schools,4172,Hulstrom Options K-8 School, 	-   , 	-   , 	66 , 	70 , 	71 , 	72 , 	79 , 	72 , 	78 , 	68 , 	62 , 	-   , 	-   , 	-   , 	-   , 	638 
01,ADAMS,0020,Adams 12 Five Star Schools,4187,Silver Hills Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	323 , 	348 , 	350 , 	-   , 	-   , 	-   , 	-   ," 	1,021 "
01,ADAMS,0020,Adams 12 Five Star Schools,4699,New America School - Thornton, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7 , 	29 , 	61 , 	147 , 	244 
01,ADAMS,0020,Adams 12 Five Star Schools,5043,Legacy High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	585 , 	614 , 	631 , 	546 ," 	2,376 "
01,ADAMS,0020,Adams 12 Five Star Schools,5058,Leroy Drive Elementary School, 	-   , 	-   , 	64 , 	65 , 	68 , 	64 , 	65 , 	61 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	387 
01,ADAMS,0020,Adams 12 Five Star Schools,5418,Malley Drive Elementary School, 	76 , 	-   , 	61 , 	56 , 	60 , 	64 , 	66 , 	59 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	442 
01,ADAMS,0020,Adams 12 Five Star Schools,5706,McElwain Elementary School, 	-   , 	-   , 	57 , 	46 , 	67 , 	59 , 	64 , 	69 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	362 
01,ADAMS,0020,Adams 12 Five Star Schools,5814,Thornton Middle School , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	257 , 	269 , 	269 , 	-   , 	-   , 	-   , 	-   , 	795 
01,ADAMS,0020,Adams 12 Five Star Schools,5816,Thornton High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	395 , 	389 , 	422 , 	279 ," 	1,485 "
01,ADAMS,0020,Adams 12 Five Star Schools,6060,Mountain Range High School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	491 , 	485 , 	448 , 	384 ," 	1,808 "
01,ADAMS,0020,Adams 12 Five Star Schools,6150,Mountain View Elementary School, 	55 , 	-   , 	73 , 	99 , 	88 , 	86 , 	77 , 	91 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	569 
01,ADAMS,0020,Adams 12 Five Star Schools,6342,Shadow Ridge Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	214 , 	268 , 	286 , 	-   , 	-   , 	-   , 	-   , 	768 
01,ADAMS,0020,Adams 12 Five Star Schools,6355,North Mor Elementary School, 	46 , 	-   , 	59 , 	46 , 	52 , 	58 , 	66 , 	64 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	391 
01,ADAMS,0020,Adams 12 Five Star Schools,6376,North Star Elementary School, 	46 , 	-   , 	53 , 	47 , 	56 , 	54 , 	51 , 	53 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	360 
01,ADAMS,0020,Adams 12 Five Star Schools,6398,Northglenn Middle School, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	226 , 	271 , 	276 , 	-   , 	-   , 	-   , 	-   , 	773 
