County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count
01,ADAMS,0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,0,0,0,0,0,0,0,0,0,0,81,128,112,83,74,478
01,ADAMS,0010,Mapleton 1,0212,Mapleton Early Career Preparation,0,0,0,0,0,0,0,0,0,0,0,91,86,73,69,319
01,ADAMS,0010,Mapleton 1,0263,Global Leadership Academy,0,0,0,0,0,0,0,0,0,0,0,122,110,68,66,366
01,ADAMS,0010,Mapleton 1,0309,Academy High School,0,0,0,0,0,0,0,0,0,0,0,123,111,96,90,420
01,ADAMS,0010,Mapleton 1,0501,Monterey Community School,0,0,37,54,42,40,38,44,57,61,56,0,0,0,0,429
01,ADAMS,0010,Mapleton 1,0502,Meadow Community School,0,0,23,45,49,37,40,31,51,54,45,0,0,0,0,375
01,ADAMS,0010,Mapleton 1,0503,York International,0,0,53,59,55,46,61,64,59,71,64,79,80,67,59,817
01,ADAMS,0010,Mapleton 1,0504,Welby Community School of the Arts ,51,0,34,36,47,53,41,30,30,0,0,0,0,0,0,322
01,ADAMS,0010,Mapleton 1,0505,Achieve Academy,0,0,41,52,38,45,32,46,38,50,42,0,0,0,0,384
01,ADAMS,0010,Mapleton 1,0506,Explore Pk-8,59,0,60,53,59,54,55,54,54,58,50,0,0,0,0,556
01,ADAMS,0010,Mapleton 1,0507,Adventure Elementary,49,0,53,53,43,51,35,33,44,0,0,0,0,0,0,361
01,ADAMS,0010,Mapleton 1,0509,Clayton Partnership School,0,0,37,35,50,53,40,52,49,50,44,0,0,0,0,410
01,ADAMS,0010,Mapleton 1,2768,Preschool on Poze,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
01,ADAMS,0010,Mapleton 1,3590,Global Intermediate Academy,0,0,0,0,0,0,55,58,56,98,90,0,0,0,0,357
01,ADAMS,0010,Mapleton 1,3623,Global Primary Academy,63,0,50,59,57,56,0,0,0,0,0,0,0,0,0,285
01,ADAMS,0010,Mapleton 1,6315,North Valley School for Young Adults,0,0,0,0,0,0,0,0,0,0,0,6,1,2,95,104
01,ADAMS,0010,Mapleton 1,6915,Mapleton Online,0,0,14,6,10,9,16,10,10,26,20,23,16,17,18,195
01,ADAMS,0010,Mapleton 1,6916,Valley View Innovation School,33,0,25,13,13,0,0,0,0,0,0,0,0,0,0,84
01,ADAMS,0010,Mapleton 1,6917,Performing Arts School on Broadway,0,0,0,0,0,0,0,0,0,33,12,34,16,14,2,111
01,ADAMS,0010,Mapleton 1,8823,Trailside Academy,60,0,56,54,47,44,49,36,47,55,48,0,0,0,0,496
01,ADAMS,0020,Adams 12 Five Star Schools,0014,Glacier Peak Elementary School,0,0,80,87,66,84,70,81,0,0,0,0,0,0,0,468
01,ADAMS,0020,Adams 12 Five Star Schools,0057,Rocky Top Middle School,0,0,0,0,0,0,0,0,338,341,322,0,0,0,0,"1,001"
01,ADAMS,0020,Adams 12 Five Star Schools,0059,Meridian Elementary School,0,0,89,91,79,95,97,90,0,0,0,0,0,0,0,541
01,ADAMS,0020,Adams 12 Five Star Schools,0070,Adams12 Five Star Preschool,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
01,ADAMS,0020,Adams 12 Five Star Schools,0210,Vantage Point,0,0,0,0,0,0,0,0,0,13,24,3,45,122,136,343
01,ADAMS,0020,Adams 12 Five Star Schools,0301,Arapahoe Ridge Elementary School,69,0,70,77,65,81,75,63,0,0,0,0,0,0,0,500
01,ADAMS,0020,Adams 12 Five Star Schools,1388,Centennial Elementary School,52,0,37,58,56,61,61,59,0,0,0,0,0,0,0,384
01,ADAMS,0020,Adams 12 Five Star Schools,1480,Century Middle School,0,0,0,0,0,0,0,0,282,270,275,0,0,0,0,827
01,ADAMS,0020,Adams 12 Five Star Schools,1519,Stargate Charter School,0,0,92,100,100,100,100,127,138,138,138,150,119,138,111,"1,551"
01,ADAMS,0020,Adams 12 Five Star Schools,1878,Coronado Hills Elementary School,54,0,56,58,73,75,58,69,0,0,0,0,0,0,0,443
01,ADAMS,0020,Adams 12 Five Star Schools,1914,Cotton Creek Elementary School,0,0,61,79,84,77,85,87,0,0,0,0,0,0,0,473
01,ADAMS,0020,Adams 12 Five Star Schools,1937,Coyote Ridge Elementary School,0,0,54,62,64,68,66,70,0,0,0,0,0,0,0,384
01,ADAMS,0020,Adams 12 Five Star Schools,2361,Eagleview Elementary School,0,0,67,74,79,68,96,109,0,0,0,0,0,0,0,493
01,ADAMS,0020,Adams 12 Five Star Schools,2410,Tarver Elementary School,81,0,71,71,69,60,66,66,0,0,0,0,0,0,0,484
01,ADAMS,0020,Adams 12 Five Star Schools,2576,Cherry Drive Elementary School,69,0,55,44,53,37,53,48,0,0,0,0,0,0,0,359
01,ADAMS,0020,Adams 12 Five Star Schools,2578,Skyview Elementary School,0,0,71,59,48,60,62,57,0,0,0,0,0,0,0,357
01,ADAMS,0020,Adams 12 Five Star Schools,2580,Hunters Glen Elementary School,57,0,82,62,71,61,65,61,0,0,0,0,0,0,0,459
01,ADAMS,0020,Adams 12 Five Star Schools,2582,Rocky Mountain Elementary School,0,0,36,46,47,52,52,65,0,0,0,0,0,0,0,298
01,ADAMS,0020,Adams 12 Five Star Schools,2584,Riverdale Elementary School,48,0,67,45,56,65,63,64,0,0,0,0,0,0,0,408
